image_path,image_hash,hash_verified,total_latency_ms,server_inference_ms,network_latency_ms,server_cpu_percent,server_memory_mb,server_memory_percent,request_size_bytes,response_size_bytes,total_data_bytes,top_class,top_confidence
dataset/n07615774_ice_lolly.JPEG,0cb3c71d9aba87d404c83c3fe4d39ef0,True,439.48,100.02,339.46,0.00,0.00,21.30,58079,510,58589,ice_lolly,0.8515
dataset/n04005630_prison.JPEG,06de0633d716cdaa8ce585294f0b4c77,True,463.88,119.10,344.78,0.00,0.00,21.30,166195,506,166701,prison,0.8545
dataset/n04147183_schooner.JPEG,5e312879fd4d6842287f3917f2de8376,True,482.12,118.05,364.07,0.00,0.00,21.30,137141,504,137645,schooner,0.3180
dataset/n07613480_trifle.JPEG,862c916d7c451e0f37fdf554c2d9f9c5,True,420.99,98.18,322.81,0.00,0.00,21.30,88474,503,88977,trifle,0.5876
dataset/n03777568_Model_T.JPEG,8aeb932aa70d9c50c27491a271841036,True,553.33,101.23,452.10,0.00,0.00,21.30,136524,506,137030,Model_T,0.8975
dataset/n03100240_convertible.JPEG,770fb70855312b8507b45554220ac42b,True,480.84,118.58,362.26,0.00,0.00,21.30,118214,517,118731,convertible,0.9004
dataset/n04008634_projectile.JPEG,094b6eeb3a7e3895a3b79b724bb09b4e,True,532.77,100.15,432.62,0.00,0.00,21.30,84907,509,85416,projectile,0.8127
dataset/n02112350_keeshond.JPEG,523476f86524ce804c28829855d58a8e,True,507.12,117.19,389.93,0.00,0.00,21.30,103687,518,104205,keeshond,0.9766
dataset/n03110669_cornet.JPEG,0b12cd1b7e68b0bf6c2eaed38f1fe38f,True,507.59,121.99,385.60,0.00,0.00,21.30,34469,504,34973,cornet,0.7374
dataset/n01776313_tick.JPEG,70db97e894668928c6645e7679f9d927,True,507.03,118.49,388.54,0.00,0.00,21.30,120261,511,120772,wolf_spider,0.3783
